Designator,Mid X,Mid Y,Rotation,Layer
AUDIOJACK1,52.41,-89.1,0.0,top
AUDIOJACK2,52.41,-102.3,0.0,top
AUDIOJACK3,52.41,-115.5,0.0,top
AUDIOJACK4,149.59,-115.5,180.0,top
AUDIOJACK5,149.59,-102.3,180.0,top
AUDIOJACK6,149.59,-89.1,180.0,top
C11,98.7,-92.6875,0.0,top
C12,102.1,-92.6875,180.0,top
C13,113.2,-95.4875,270.0,top
C14,121.3,-119.125,270.0,top
C15,94.05,-92.6,0.0,top
C16,80.85,-97.7,270.0,top
C8,78.55,-114.9625,180.0,top
C9,78.6,-117.9625,180.0,top
D6,112.8,-87.1875,0.0,top
D7,112.7625,-89.9875,0.0,top
D8,83.05,-90.1,0.0,top
H1,50.0,-78.0,0.0,top
H2,50.0,-126.5,0.0,top
J1,108.8,-101.3,180.0,top
J10,130.1,-78.0,0.0,top
J11,141.2,-78.0,0.0,top
J2,134.7,-112.6,270.0,top
J3,67.7,-99.5,90.0,top
J4,119.9,-123.175,0.0,top
J5,108.9,-105.4875,90.0,top
J6,113.5,-79.75,90.0,top
J7,137.0,-128.0,90.0,top
J8,65.520375,-77.479234,90.0,top
J9,65.52,-127.48,90.0,top
L1,89.55,-84.5,180.0,top
R12,78.7,-106.5625,90.0,top
R13,75.1,-116.4,90.0,top
R14,75.1,-111.7,90.0,top
R15,75.0,-106.5625,270.0,top
R16,142.4,-122.6,0.0,top
R17,134.5,-122.4,0.0,top
R20,62.5375,-113.2,270.0,top
R22,65.8375,-113.1375,270.0,top
R23,64.1375,-117.5,0.0,top
R29,107.9,-87.1875,180.0,top
R30,107.8625,-89.9875,180.0,top
R31,100.2625,-83.8,0.0,top
R32,122.3,-95.7875,180.0,top
R33,121.6,-100.3875,270.0,top
R34,110.1875,-96.4,0.0,top
R35,118.5,-117.6625,270.0,top
R36,108.9875,-93.6875,0.0,top
R37,117.4,-88.6875,90.0,top
R41,83.0375,-93.6,0.0,top
R42,83.95,-97.6,270.0,top
RN1,68.2,-84.2,180.0,top
U10,68.295,-91.775,0.0,top
U11,100.7,-88.4875,270.0,top
U12,62.105,-91.975,0.0,top
U14,89.2125,-92.45,180.0,top
U4,78.6,-111.2375,180.0,top
U5,138.6,-118.7,90.0,top
U6,130.8,-118.6,90.0,top
U7,64.2375,-108.1,90.0,top
U8,116.4375,-96.0375,0.0,top
U9,116.4625,-101.0375,180.0,top
